date,total_incidents
2014-01-01,138
2014-01-02,110
2014-01-03,72
2014-01-04,118
2014-01-05,104
2014-01-06,117
2014-01-07,86
2014-01-08,116
2014-01-09,131
2014-01-10,141
2014-01-11,110
2014-01-12,104
2014-01-13,127
2014-01-14,138
2014-01-15,135
2014-01-16,139
2014-01-17,139
2014-01-18,101
2014-01-19,107
2014-01-20,128
2014-01-21,78
2014-01-22,104
2014-01-23,108
2014-01-24,116
2014-01-25,112
2014-01-26,103
2014-01-27,127
2014-01-28,95
2014-01-29,102
2014-01-30,142
2014-01-31,130
2014-02-01,121
2014-02-02,112
2014-02-03,107
2014-02-04,113
2014-02-05,100
2014-02-06,97
2014-02-07,122
2014-02-08,110
2014-02-09,78
2014-02-10,103
2014-02-11,103
2014-02-12,101
2014-02-13,46
2014-02-14,76
2014-02-15,102
2014-02-16,81
2014-02-17,91
2014-02-18,91
2014-02-19,95
2014-02-20,114
2014-02-21,138
2014-02-22,109
2014-02-23,85
2014-02-24,102
2014-02-25,117
2014-02-26,102
2014-02-27,103
2014-02-28,124
2014-03-01,124
2014-03-02,84
2014-03-03,56
2014-03-04,97
2014-03-05,103
2014-03-06,108
2014-03-07,110
2014-03-08,107
2014-03-09,88
2014-03-10,128
2014-03-11,111
2014-03-12,94
2014-03-13,102
2014-03-14,154
2014-03-15,152
2014-03-16,88
2014-03-17,82
2014-03-18,107
2014-03-19,94
2014-03-20,99
2014-03-21,106
2014-03-22,119
2014-03-23,108
2014-03-24,131
2014-03-25,121
2014-03-26,99
2014-03-27,141
2014-03-28,122
2014-03-29,91
2014-03-30,92
2014-03-31,141
2014-04-01,124
2014-04-02,117
2014-04-03,118
2014-04-04,138
2014-04-05,116
2014-04-06,98
2014-04-07,112
2014-04-08,119
2014-04-09,129
2014-04-10,114
2014-04-11,114
2014-04-12,120
2014-04-13,131
2014-04-14,142
2014-04-15,109
2014-04-16,115
2014-04-17,128
2014-04-18,120
2014-04-19,119
2014-04-20,118
2014-04-21,119
2014-04-22,122
2014-04-23,139
2014-04-24,124
2014-04-25,137
2014-04-26,134
2014-04-27,143
2014-04-28,144
2014-04-29,117
2014-04-30,110
2014-05-01,132
2014-05-02,127
2014-05-03,111
2014-05-04,122
2014-05-05,132
2014-05-06,137
2014-05-07,133
2014-05-08,131
2014-05-09,146
2014-05-10,114
2014-05-11,123
2014-05-12,131
2014-05-13,129
2014-05-14,138
2014-05-15,149
2014-05-16,146
2014-05-17,166
2014-05-18,118
2014-05-19,135
2014-05-20,151
2014-05-21,131
2014-05-22,160
2014-05-23,144
2014-05-24,124
2014-05-25,128
2014-05-26,122
2014-05-27,142
2014-05-28,128
2014-05-29,114
2014-05-30,125
2014-05-31,125
2014-06-01,117
2014-06-02,147
2014-06-03,120
2014-06-04,142
2014-06-05,121
2014-06-06,133
2014-06-07,119
2014-06-08,136
2014-06-09,148
2014-06-10,112
2014-06-11,125
2014-06-12,128
2014-06-13,116
2014-06-14,146
2014-06-15,149
2014-06-16,149
2014-06-17,123
2014-06-18,127
2014-06-19,134
2014-06-20,151
2014-06-21,130
2014-06-22,102
2014-06-23,140
2014-06-24,161
2014-06-25,127
2014-06-26,127
2014-06-27,143
2014-06-28,159
2014-06-29,121
2014-06-30,116
2014-07-01,152
2014-07-02,118
2014-07-03,120
2014-07-04,111
2014-07-05,126
2014-07-06,140
2014-07-07,136
2014-07-08,122
2014-07-09,142
2014-07-10,135
2014-07-11,137
2014-07-12,130
2014-07-13,128
2014-07-14,138
2014-07-15,132
2014-07-16,141
2014-07-17,129
2014-07-18,130
2014-07-19,127
2014-07-20,153
2014-07-21,145
2014-07-22,132
2014-07-23,131
2014-07-24,145
2014-07-25,153
2014-07-26,136
2014-07-27,151
2014-07-28,101
2014-07-29,138
2014-07-30,136
2014-07-31,131
2014-08-01,181
2014-08-02,111
2014-08-03,130
2014-08-04,126
2014-08-05,115
2014-08-06,143
2014-08-07,133
2014-08-08,148
2014-08-09,104
2014-08-10,157
2014-08-11,166
2014-08-12,87
2014-08-13,123
2014-08-14,145
2014-08-15,162
2014-08-16,110
2014-08-17,116
2014-08-18,142
2014-08-19,139
2014-08-20,136
2014-08-21,110
2014-08-22,124
2014-08-23,131
2014-08-24,103
2014-08-25,154
2014-08-26,131
2014-08-27,134
2014-08-28,119
2014-08-29,148
2014-08-30,112
2014-08-31,132
2014-09-01,171
2014-09-02,150
2014-09-03,115
2014-09-04,140
2014-09-05,145
2014-09-06,142
2014-09-07,127
2014-09-08,120
2014-09-09,120
2014-09-10,141
2014-09-11,133
2014-09-12,146
2014-09-13,105
2014-09-14,115
2014-09-15,121
2014-09-16,122
2014-09-17,128
2014-09-18,162
2014-09-19,120
2014-09-20,136
2014-09-21,140
2014-09-22,154
2014-09-23,145
2014-09-24,120
2014-09-25,122
2014-09-26,137
2014-09-27,139
2014-09-28,128
2014-09-29,162
2014-09-30,132
2014-10-01,122
2014-10-02,114
2014-10-03,151
2014-10-04,144
2014-10-05,120
2014-10-06,107
2014-10-07,135
2014-10-08,119
2014-10-09,128
2014-10-10,145
2014-10-11,114
2014-10-12,145
2014-10-13,139
2014-10-14,140
2014-10-15,126
2014-10-16,137
2014-10-17,138
2014-10-18,134
2014-10-19,110
2014-10-20,136
2014-10-21,123
2014-10-22,156
2014-10-23,140
2014-10-24,150
2014-10-25,137
2014-10-26,134
2014-10-27,134
2014-10-28,143
2014-10-29,150
2014-10-30,150
2014-10-31,151
2014-11-01,126
2014-11-02,117
2014-11-03,117
2014-11-04,102
2014-11-05,133
2014-11-06,122
2014-11-07,141
2014-11-08,109
2014-11-09,126
2014-11-10,124
2014-11-11,138
2014-11-12,129
2014-11-13,118
2014-11-14,126
2014-11-15,120
2014-11-16,92
2014-11-17,109
2014-11-18,140
2014-11-19,117
2014-11-20,110
2014-11-21,135
2014-11-22,140
2014-11-23,123
2014-11-24,158
2014-11-25,114
2014-11-26,130
2014-11-27,87
